Turn,Attacker,Target,Damage,Player HP,Monster HP,Monster Name,Gold,EXP,Fragment,Hp Target
1,Player,Goblin,17,100,83,Goblin,50,20,5,83
2,Goblin,Player,13,87,83,Goblin,50,20,5,87
3,Player,Goblin,16,87,67,Goblin,50,20,5,67
4,Goblin,Player,13,74,67,Goblin,50,20,5,74
5,Player,Goblin,18,74,49,Goblin,50,20,5,49
6,Goblin,Player,7,67,49,Goblin,50,20,5,67
7,Player,Goblin,16,67,33,Goblin,50,20,5,33
8,Goblin,Player,10,57,33,Goblin,50,20,5,57
9,Player,Goblin,15,57,18,Goblin,50,20,5,18
10,Goblin,Player,12,45,18,Goblin,50,20,5,45
11,Player,Goblin,19,45,0,Goblin,50,20,5,0
